Retail Type,Sales,Year,Category
Health and personal care stores,349000000000,2020,Health/Drugs/Pharmacy
Pharmacies and drug stores,301000000000,2020,Health/Drugs/Pharmacy
Gasoline stations,430000000000,2020,Auto
Clothing and clothing access. stores,204000000000,2020,Clothing/Fashion
Clothing stores,139000000000,2020,Clothing/Fashion
Family clothing stores,81464000000,2020,Clothing/Fashion
Other clothing stores,12771000000,2020,Clothing/Fashion
Shoe stores,28618000000,2020,Clothing/Fashion
Jewelry stores,33296000000,2020,Luxury
"Sporting goods, hobby, musical instrument, and book stores",86380000000,2020,Sporting/Outdoors/Games
Sporting goods stores,53911000000,2020,Sporting/Outdoors/Games
"Hobby, toy, and game stores",17338000000,2020,Sporting/Outdoors/Games
Book stores,6499000000,2020,Merchandise
General merchandise stores,740000000000,2020,Merchandise
Department stores,113000000000,2020,Department
Department stores(excl. discount department stores),21386000000,2020,Department
Discount dept. stores,92111000000,2020,Department
Other general merchandise stores,626000000000,2020,Merchandise
Warehouse clubs and superstores,536000000000,2020,Department
All other gen. merchandise stores,90410000000,2020,Merchandise
Miscellaneous store retailers,133000000000,2020,Merchandise
"Office supplies, stationery, and gift stores",22772000000,2020,Office
Office supplies and stationery stores,10117000000,2020,Office
"Gift, novelty, and souvenir stores",12655000000,2020,Merchandise
Used merchandise stores,15385000000,2020,Merchandise
Nonstore retailers,925000000000,2020,Other
Electronic shopping and mail-order houses,837000000000,2020,Other
Fuel dealers,29874000000,2020,Auto
Food services and drinking places,621000000000,2020,Food Services
Restaurants and other eating places,569000000000,2020,Food Services
Limited service eating places,328000000000,2020,Food Services
Motor vehicle and parts dealers,1240000000000,2019,Auto
Automobile and other motor vehicle dealers,1140000000000,2019,Auto
Automobile dealers,1070000000000,2019,Auto
New car dealers,944000000000,2019,Auto
Used car dealers,122000000000,2019,Auto
"Automotive parts, acc., and tire stores",96940000000,2019,Auto
"Furniture, home furn, electronics, and appliance stores",211000000000,2019,Electronics/Home/Furniture
Furniture and home furnishings stores,121000000000,2019,Electronics/Home/Furniture
Furniture stores,64208000000,2019,Electronics/Home/Furniture
Electronics and appliance stores,90536000000,2019,Electronics/Home/Furniture
Household appliance stores,16567000000,2019,Electronics/Home/Furniture
Electronics stores,73969000000,2019,Electronics/Home/Furniture
Building mat. and garden equip. and supplies dealers,372000000000,2019,Home/Garden/Hardware
Building mat. and supplies dealers,326000000000,2019,Home/Garden/Hardware
Paint and wallpaper stores,12734000000,2019,Home/Garden/Hardware
Hardware stores,28837000000,2019,Home/Garden/Hardware
Food and beverage stores,774000000000,2019,Food/Beverage
Grocery stores,693000000000,2019,Food/Beverage
Supermarkets and other grocery (except convenience) stores,660000000000,2019,Food/Beverage
"Beer, wine, and liquor stores",56805000000,2019,Food/Beverage
Health and personal care stores,343000000000,2019,Health/Drugs/Pharmacy
Pharmacies and drug stores,284000000000,2019,Health/Drugs/Pharmacy
Gasoline stations,512000000000,2019,Auto
Clothing and clothing access. stores,269000000000,2019,Clothing/Fashion
Clothing stores,196000000000,2019,Clothing/Fashion
Family clothing stores,112000000000,2019,Clothing/Fashion
Other clothing stores,17378000000,2019,Clothing/Fashion
Shoe stores,36627000000,2019,Clothing/Fashion
Jewelry stores,32640000000,2019,Luxury
"Sporting goods, hobby, musical instrument, and book stores",80757000000,2019,Sporting/Outdoors/Games
Sporting goods stores,45621000000,2019,Sporting/Outdoors/Games
"Hobby, toy, and game stores",16524000000,2019,Sporting/Outdoors/Games
Book stores,9126000000,2019,Merchandise
General merchandise stores,716000000000,2019,Merchandise
Department stores,135000000000,2019,Department
Department stores(excl. discount department stores),39548000000,2019,Department
Discount dept. stores,95111000000,2019,Department
Other general merchandise stores,582000000000,2019,Merchandise
Warehouse clubs and superstores,501000000000,2019,Department
All other gen. merchandise stores,80480000000,2019,Merchandise
Miscellaneous store retailers,132000000000,2019,Merchandise
"Office supplies, stationery, and gift stores",28922000000,2019,Office
Office supplies and stationery stores,10719000000,2019,Office
"Gift, novelty, and souvenir stores",18203000000,2019,Merchandise
Used merchandise stores,18300000000,2019,Merchandise
Nonstore retailers,762000000000,2019,Other
Electronic shopping and mail-order houses,668000000000,2019,Other
Fuel dealers,34970000000,2019,Auto
Food services and drinking places,774000000000,2019,Food Services
Restaurants and other eating places,676000000000,2019,Food Services
Limited service eating places,341000000000,2019,Food Services
Motor vehicle and parts dealers,1200000000000,2018,Auto
Automobile and other motor vehicle dealers,1110000000000,2018,Auto
Automobile dealers,1040000000000,2018,Auto
New car dealers,918000000000,2018,Auto
Used car dealers,117000000000,2018,Auto
"Automotive parts, acc., and tire stores",94998000000,2018,Auto
"Furniture, home furn, electronics, and appliance stores",213000000000,2018,Electronics/Home/Furniture
Furniture and home furnishings stores,119000000000,2018,Electronics/Home/Furniture
Furniture stores,63279000000,2018,Electronics/Home/Furniture
Electronics and appliance stores,94002000000,2018,Electronics/Home/Furniture
Household appliance stores,16790000000,2018,Electronics/Home/Furniture
Electronics stores,77212000000,2018,Electronics/Home/Furniture
Building mat. and garden equip. and supplies dealers,366000000000,2018,Home/Garden/Hardware
Building mat. and supplies dealers,321000000000,2018,Home/Garden/Hardware
Paint and wallpaper stores,12245000000,2018,Home/Garden/Hardware
Hardware stores,27467000000,2018,Home/Garden/Hardware
Food and beverage stores,750000000000,2018,Food/Beverage
Grocery stores,671000000000,2018,Food/Beverage
Supermarkets and other grocery (except convenience) stores,640000000000,2018,Food/Beverage
"Beer, wine, and liquor stores",55088000000,2018,Food/Beverage
Health and personal care stores,338000000000,2018,Health/Drugs/Pharmacy
Pharmacies and drug stores,280000000000,2018,Health/Drugs/Pharmacy
Gasoline stations,521000000000,2018,Auto
Clothing and clothing access. stores,267000000000,2018,Clothing/Fashion
Clothing stores,194000000000,2018,Clothing/Fashion
Family clothing stores,109000000000,2018,Clothing/Fashion
Other clothing stores,17902000000,2018,Clothing/Fashion
Shoe stores,37253000000,2018,Clothing/Fashion
Jewelry stores,32083000000,2018,Luxury
"Sporting goods, hobby, musical instrument, and book stores",81129000000,2018,Sporting/Outdoors/Games
Sporting goods stores,44755000000,2018,Sporting/Outdoors/Games
"Hobby, toy, and game stores",16889000000,2018,Sporting/Outdoors/Games
Book stores,9758000000,2018,Merchandise
General merchandise stores,707000000000,2018,Merchandise
Department stores,142000000000,2018,Department
Department stores(excl. discount department stores),44571000000,2018,Department
Discount dept. stores,97512000000,2018,Department
Other general merchandise stores,565000000000,2018,Merchandise
Warehouse clubs and superstores,487000000000,2018,Department
All other gen. merchandise stores,78328000000,2018,Merchandise
Miscellaneous store retailers,128000000000,2018,Merchandise
"Office supplies, stationery, and gift stores",30324000000,2018,Office
Office supplies and stationery stores,11363000000,2018,Office
"Gift, novelty, and souvenir stores",18961000000,2018,Merchandise
Used merchandise stores,17175000000,2018,Merchandise
Nonstore retailers,676000000000,2018,Other
Electronic shopping and mail-order houses,584000000000,2018,Other
Fuel dealers,36530000000,2018,Auto
Food services and drinking places,732000000000,2018,Food Services
Restaurants and other eating places,639000000000,2018,Food Services
Limited service eating places,321000000000,2018,Food Services
Motor vehicle and parts dealers,1190000000000,2017,Auto
Automobile and other motor vehicle dealers,1090000000000,2017,Auto
Automobile dealers,1020000000000,2017,Auto
New car dealers,906000000000,2017,Auto
Used car dealers,114000000000,2017,Auto
"Automotive parts, acc., and tire stores",93443000000,2017,Auto
"Furniture, home furn, electronics, and appliance stores",208000000000,2017,Electronics/Home/Furniture
Furniture and home furnishings stores,115000000000,2017,Electronics/Home/Furniture
Furniture stores,61288000000,2017,Electronics/Home/Furniture
Electronics and appliance stores,92424000000,2017,Electronics/Home/Furniture
Household appliance stores,16806000000,2017,Electronics/Home/Furniture
Electronics stores,75618000000,2017,Electronics/Home/Furniture
Building mat. and garden equip. and supplies dealers,349000000000,2017,Home/Garden/Hardware
Building mat. and supplies dealers,305000000000,2017,Home/Garden/Hardware
Paint and wallpaper stores,11536000000,2017,Home/Garden/Hardware
Hardware stores,25891000000,2017,Home/Garden/Hardware
Food and beverage stores,729000000000,2017,Food/Beverage
Grocery stores,653000000000,2017,Food/Beverage
Supermarkets and other grocery (except convenience) stores,625000000000,2017,Food/Beverage
"Beer, wine, and liquor stores",52622000000,2017,Food/Beverage
Health and personal care stores,324000000000,2017,Health/Drugs/Pharmacy
Pharmacies and drug stores,269000000000,2017,Health/Drugs/Pharmacy
Gasoline stations,476000000000,2017,Auto
Clothing and clothing access. stores,261000000000,2017,Clothing/Fashion
Clothing stores,191000000000,2017,Clothing/Fashion
Family clothing stores,105000000000,2017,Clothing/Fashion
Other clothing stores,17822000000,2017,Clothing/Fashion
Shoe stores,36332000000,2017,Clothing/Fashion
Jewelry stores,30988000000,2017,Luxury
"Sporting goods, hobby, musical instrument, and book stores",83896000000,2017,Sporting/Outdoors/Games
Sporting goods stores,45965000000,2017,Sporting/Outdoors/Games
"Hobby, toy, and game stores",18147000000,2017,Sporting/Outdoors/Games
Book stores,10329000000,2017,Merchandise
General merchandise stores,692000000000,2017,Merchandise
Department stores,147000000000,2017,Department
Department stores(excl. discount department stores),48435000000,2017,Department
Discount dept. stores,98219000000,2017,Department
Other general merchandise stores,545000000000,2017,Merchandise
Warehouse clubs and superstores,470000000000,2017,Department
All other gen. merchandise stores,75057000000,2017,Merchandise
Miscellaneous store retailers,123000000000,2017,Merchandise
"Office supplies, stationery, and gift stores",30061000000,2017,Office
Office supplies and stationery stores,12261000000,2017,Office
"Gift, novelty, and souvenir stores",17800000000,2017,Merchandise
Used merchandise stores,16739000000,2017,Merchandise
Nonstore retailers,608000000000,2017,Other
Electronic shopping and mail-order houses,525000000000,2017,Other
Fuel dealers,31433000000,2017,Auto
Food services and drinking places,693000000000,2017,Food Services
Restaurants and other eating places,604000000000,2017,Food Services
Limited service eating places,302000000000,2017,Food Services
